country	1800	1801	1802	1803	1804	1805	1806	1807	1808	1809	1810	1811	1812	1813	1814	1815	1816	1817	1818	1819	1820	1821	1822	1823	1824	1825	1826	1827	1828	1829	1830	1831	1832	1833	1834	1835	1836	1837	1838	1839	1840	1841	1842	1843	1844	1845	1846	1847	1848	1849	1850	1851	1852	1853	1854	1855	1856	1857	1858	1859	1860	1861	1862	1863	1864	1865	1866	1867	1868	1869	1870	1871	1872	1873	1874	1875	1876	1877	1878	1879	1880	1881	1882	1883	1884	1885	1886	1887	1888	1889	1890	1891	1892	1893	1894	1895	1896	1897	1898	1899	1900	1901	1902	1903	1904	1905	1906	1907	1908	1909	1910	1911	1912	1913	1914	1915	1916	1917	1918	1919	1920	1921	1922	1923	1924	1925	1926	1927	1928	1929	1930	1931	1932	1933	1934	1935	1936	1937	1938	1939	1940	1941	1942	1943	1944	1945	1946	1947	1948	1949	1950	1951	1952	1953	1954	1955	1956	1957	1958	1959	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015
Bahamas	27350	27350	27350	27350	27350	27350	27350	27350	27350	27350	27350	27355	27361	27366	27372	27377	27382	27388	27393	27399	27404	27419	27435	27450	27466	27481	27496	27512	27527	27543	27558	27579	27600	27621	27642	27663	27684	27705	27726	27747	27768	27928	28089	28249	28410	28570	28730	28891	29051	29212	29372	29797	30223	30648	31073	31498	31924	32349	32774	33200	33625	34141	34657	35174	35690	36206	36722	37238	37755	38271	38787	39243	39698	40154	40610	41066	41521	41977	42433	42888	43344	43791	44239	44686	45133	45580	46028	46475	46922	47370	47817	48346	48874	49402	49931	50460	50988	51516	52045	52574	53102	53375	53647	53920	54193	54466	54738	55011	55284	55556	55829	55590	55350	55111	54872	54632	54393	54154	53915	53675	53436	54035	54633	55232	55830	56429	57028	57626	58225	58823	59422	60161	60900	61639	62378	63117	63856	64595	65334	66073	66812	68040	69267	70495	71722	72950	74178	75405	76633	77860	79088	79178	79267	79357	79446	79536	79626	79715	79805	79894	79984	80128	80273	80417	80562	80706	80850	80995	81139	81284	81428	81622	81817	82011	82205	82400	82594	82788	82982	83177	83371	83612	83852	84092	84333	84574	84814	85054	85295	85536	85776	86060	86345	86629	86913	87198	87482	87766	88050	88335	88619	88946	89274	89601	89929	90256	90583	90911	91238	91566	91893	151118	210343	269569	328794	388019
Bahrain	64474	64474	64474	64474	64474	64474	64474	64474	64474	64474	64474	64474	64474	64474	64474	64474	64474	64474	64474	64474	64474	64474	64474	64474	64474	64474	64474	64474	64474	64474	64474	64474	64474	64474	64474	64474	64474	64474	64474	64474	64474	64474	64474	64474	64474	64474	64474	64474	64474	64474	64474	64474	64473	64472	64472	64472	64471	64470	64470	64470	64469	64564	64660	64755	64850	64946	65041	65136	65231	65327	65422	65697	65972	66246	66521	66796	67071	67346	67620	67895	68170	68558	68945	69332	69720	70108	70495	70882	71270	71658	72045	72456	72868	73279	73690	74102	74513	74924	75335	75747	76158	76592	77025	77459	77893	78326	78760	79194	79628	80061	80495	81182	81869	82556	83243	83930	84616	85303	85990	86677	87364	88218	89071	89925	90779	91632	92486	93340	94194	95047	95901	96838	97775	98712	99649	100586	101524	102461	103398	104335	105272	106306	107340	108375	109409	110443	111477	112511	113546	114580	115614	115744	115875	116006	116136	116266	116397	116528	116658	116788	116919	117196	117473	117750	118027	118304	118581	118858	119135	119412	119689	120079	120470	120860	121251	121641	122031	122422	122812	123203	123593	124067	124541	125015	125489	125963	126437	126911	127385	127859	128333	128865	129397	129929	130461	130993	131525	132057	132589	133121	133653	134221	134789	135357	135925	136492	137060	137628	138196	138764	139332	386913	634494	882075	1129656	1377237
Bangladesh	19227358	19265749	19304140	19342531	19380922	19419314	19457705	19496096	19534487	19572878	19611269	19662429	19713588	19764748	19815907	19867067	19918227	19969386	20020546	20071705	20122865	20197856	20272847	20347839	20422830	20497821	20572812	20647803	20722795	20797786	20872777	20963146	21053515	21143884	21234253	21324622	21414992	21505361	21595730	21686099	21776468	21870750	21965031	22059313	22153594	22247876	22342158	22436439	22530721	22625002	22719284	22813879	22908475	23003070	23097665	23192260	23286856	23381451	23476046	23570642	23665237	23774513	23883788	23993064	24102340	24211616	24320891	24430167	24539443	24648718	24757994	24891688	25025381	25159075	25292769	25426462	25560156	25693850	25827544	25961237	26094931	26246946	26398961	26550975	26702990	26855005	27007020	27159035	27311049	27463064	27615079	27776641	27938203	28099765	28261327	28422889	28584451	28746013	28907575	29069137	29230699	29401282	29571866	29742449	29913032	30083616	30254199	30424782	30595365	30765949	30936532	31099574	31262616	31425658	31588700	31751742	31914783	32077825	32240867	32403909	32566951	32745997	32925043	33104089	33283135	33462182	33641228	33820274	33999320	34178366	34357412	34666238	34975063	35283888	35592714	35901540	36210365	36519190	36828016	37136842	37445667	37490568	37535470	37580371	37625272	37670174	37715075	37759976	37804877	37849779	37894680	37975905	38057129	38138354	38219579	38300804	38382028	38463253	38544478	38625702	38706927	38785567	38864207	38942847	39021487	39100126	39178766	39257406	39336046	39414686	39493326	39574220	39655114	39736008	39816902	39897796	39978690	40059584	40140478	40221372	40302266	40389070	40475874	40562678	40649482	40736286	40823090	40909894	40996698	41083502	41170306	41265492	41360679	41455866	41551052	41646238	41741425	41836612	41931798	42026984	42122171	42226980	42331789	42436598	42541407	42646216	42751025	42855834	42960643	43065452	43170261	66735337	90300413	113865490	137430566	160995642
Barbados	81729	81729	81729	81729	81729	81729	81729	81729	81729	81729	81729	82102	82474	82847	83220	83592	83965	84338	84711	85083	85456	86590	87724	88859	89993	91127	92261	93395	94530	95664	96798	98526	100254	101983	103711	105439	107167	108895	110624	112352	114080	115968	117857	119746	121634	123522	125411	127300	129188	131076	132965	134614	136262	137911	139560	141208	142857	144506	146155	147803	149452	150627	151803	152978	154154	155329	156504	157680	158855	160031	161206	162193	163179	164166	165152	166139	167126	168112	169099	170085	171072	172161	173251	174340	175430	176519	177608	178698	179787	180877	181966	182882	183797	184712	185628	186544	187459	188374	189290	190206	191121	189444	187767	186090	184413	182736	181060	179383	177706	176029	174352	172754	171156	169557	167959	166361	164763	163165	161566	159968	158370	159468	160567	161665	162763	163862	164960	166058	167156	168255	169353	170849	172345	173841	175337	176832	178328	179824	181320	182816	184312	186980	189649	192317	194985	197654	200322	202990	205658	208327	210995	211466	211937	212408	212879	213350	213820	214291	214762	215233	215704	216097	216490	216884	217277	217670	218063	218456	218850	219243	219636	219953	220270	220588	220905	221222	221539	221856	222174	222491	222808	223054	223299	223544	223790	224036	224281	224526	224772	225018	225263	225444	225626	225807	225988	226170	226351	226532	226713	226895	227076	227203	227331	227458	227585	227712	227840	227967	228094	228222	228349	239522	250695	261869	273042	284215
Belarus	2355081	2355081	2355081	2355081	2355081	2355081	2355081	2355081	2355081	2355081	2355081	2360915	2366749	2372583	2378417	2384250	2390084	2395918	2401752	2407586	2413420	2430568	2447716	2464864	2482012	2499160	2516308	2533456	2550604	2567752	2584900	2609689	2634478	2659267	2684056	2708844	2733633	2758422	2783211	2808000	2832789	2859955	2887121	2914287	2941453	2968620	2995786	3022952	3050118	3077284	3104450	3134437	3164425	3194412	3224399	3254386	3284374	3314361	3344348	3374336	3404323	3437207	3470091	3502974	3535858	3568742	3601626	3634510	3667393	3700277	3733161	3769004	3804846	3840689	3876532	3912374	3948217	3984060	4019903	4055745	4091588	4130847	4170105	4209364	4248623	4287882	4327140	4366399	4405658	4444916	4484175	4527489	4570803	4614117	4657431	4700744	4744058	4787372	4830686	4874000	4917314	4964631	5011947	5059264	5106581	5153898	5201214	5248531	5295848	5343164	5390481	5442391	5494301	5546211	5598121	5650032	5701942	5753852	5805762	5857672	5909582	5966254	6022926	6079599	6136271	6192943	6249615	6306287	6362960	6419632	6476304	6538411	6600518	6662625	6724732	6786839	6848946	6911053	6973160	7035267	7097374	7162137	7226900	7291663	7356426	7421188	7485951	7550714	7615477	7680240	7745003	7742274	7739544	7736814	7734085	7731356	7728626	7725896	7723167	7720438	7717708	7717040	7716372	7715704	7715036	7714368	7713699	7713031	7712363	7711695	7711027	7712335	7713643	7714951	7716259	7717568	7718876	7720184	7721492	7722800	7724108	7727255	7730402	7733548	7736695	7739842	7742989	7746136	7749282	7752429	7755576	7760372	7765168	7769964	7774760	7779556	7784353	7789149	7793945	7798741	7803537	7809737	7815938	7822138	7828338	7834538	7840739	7846939	7853139	7859340	7865540	8191597	8517654	8843712	9169769	9495826
Belgium	3138137	3152719	3167301	3181884	3196466	3211048	3225630	3240212	3254795	3269377	3283959	3303141	3322324	3341506	3360688	3379870	3399053	3418235	3437417	3456600	3475782	3503361	3530940	3558519	3586098	3613676	3641255	3668834	3696413	3723992	3751571	3785157	3818743	3852328	3885914	3919500	3953086	3986672	4020257	4053843	4087429	4121286	4155143	4189000	4222857	4256714	4290572	4324429	4358286	4392143	4426000	4458709	4491418	4524126	4556835	4589544	4622253	4654962	4687670	4720379	4753088	4788868	4824649	4860429	4896209	4931990	4967770	5003550	5039330	5075111	5110891	5157023	5203154	5249286	5295418	5341550	5387681	5433813	5479945	5526076	5572208	5627528	5682848	5738167	5793487	5848807	5904127	5959447	6014766	6070086	6125406	6189038	6252670	6316301	6379933	6443565	6507197	6570829	6634460	6698092	6761724	6834839	6907954	6981068	7054183	7127298	7200413	7273528	7346642	7419757	7492872	7499054	7505236	7511418	7517600	7523782	7529963	7536145	7542327	7548509	7554691	7606312	7657934	7709555	7761176	7812798	7864419	7916040	7967661	8019283	8070904	8096881	8122858	8148836	8174813	8200790	8226767	8252744	8278722	8304699	8330676	8360457	8390239	8420020	8449801	8479582	8509364	8539145	8568926	8598708	8628489	8633009	8637529	8642050	8646570	8651090	8655610	8660130	8664651	8669171	8673691	8678441	8683191	8687941	8692691	8697442	8702192	8706942	8711692	8716442	8721192	8726092	8730993	8735893	8740794	8745694	8750594	8755495	8760395	8765296	8770196	8775192	8780189	8785186	8790182	8795178	8800175	8805172	8810168	8815164	8820161	8825224	8830287	8835350	8840413	8845476	8850540	8855603	8860666	8865729	8870792	8875920	8881047	8886175	8891303	8896430	8901558	8906686	8911814	8916941	8922069	9397494	9872918	10348343	10823767	11299192
Belize	25526	25526	25526	25526	25526	25526	25526	25526	25526	25526	25526	25529	25532	25535	25538	25541	25544	25547	25550	25553	25556	25564	25573	25582	25590	25598	25607	25616	25624	25632	25641	25652	25664	25676	25687	25698	25710	25722	25733	25744	25756	25768	25779	25791	25802	25814	25826	25837	25849	25860	25872	25860	25849	25837	25825	25814	25802	25790	25778	25767	25755	25754	25753	25752	25751	25750	25749	25748	25747	25746	25745	25883	26021	26158	26296	26434	26572	26710	26847	26985	27123	27486	27849	28212	28575	28938	29302	29665	30028	30391	30754	31290	31826	32362	32898	33434	33970	34506	35042	35578	36114	36482	36850	37218	37586	37954	38321	38689	39057	39425	39793	40270	40747	41223	41700	42177	42654	43131	43607	44084	44561	45151	45742	46332	46923	47513	48103	48694	49284	49875	50465	50995	51526	52056	52586	53116	53647	54177	54707	55238	55768	57083	58398	59713	61028	62343	63658	64973	66288	67603	68918	69150	69383	69616	69848	70080	70313	70546	70778	71010	71243	71462	71680	71898	72117	72336	72554	72772	72991	73210	73428	73641	73853	74066	74278	74491	74704	74916	75129	75341	75554	75767	75980	76194	76407	76620	76833	77046	77260	77473	77686	77905	78123	78342	78560	78779	78998	79216	79435	79653	79872	80099	80326	80552	80779	81006	81233	81460	81686	81913	82140	137569	192999	248428	303858	359287
Benin	636559	636559	636559	636559	636559	636559	636559	636559	636559	636559	636559	638238	639917	641596	643275	644954	646632	648311	649990	651669	653348	658296	663244	668192	673140	678088	683037	687985	692933	697881	702829	710012	717194	724376	731559	738742	745924	753106	760289	767472	774654	782570	790487	798403	806320	814236	822152	830069	837985	845902	853818	862583	871348	880113	888878	897644	906409	915174	923939	932704	941469	951134	960799	970464	980129	989794	999458	1009123	1018788	1028453	1038118	1048706	1059295	1069884	1080472	1091060	1101649	1112238	1122826	1133414	1144003	1155664	1167324	1178984	1190645	1202306	1213966	1225626	1237287	1248948	1260608	1273549	1286490	1299431	1312372	1325313	1338254	1351195	1364136	1377077	1390018	1404230	1418441	1432652	1446864	1461076	1475287	1489498	1503710	1517922	1532133	1547827	1563521	1579215	1594909	1610603	1626297	1641991	1657685	1673379	1689073	1706334	1723595	1740857	1758118	1775379	1792640	1809901	1827163	1844424	1861685	1880710	1899735	1918761	1937786	1956811	1975836	1994861	2013887	2032912	2051937	2072265	2092594	2112922	2133251	2153579	2173907	2194236	2214564	2234893	2255221	2255504	2255787	2256069	2256352	2256635	2256918	2257201	2257483	2257766	2258049	2258682	2259315	2259948	2260581	2261214	2261846	2262479	2263112	2263745	2264378	2265353	2266328	2267304	2268279	2269254	2270229	2271204	2272180	2273155	2274130	2275440	2276749	2278058	2279368	2280678	2281987	2283296	2284606	2285916	2287225	2288861	2290497	2292133	2293769	2295405	2297041	2298677	2300313	2301949	2303585	2305540	2307494	2309449	2311403	2313358	2315313	2317267	2319222	2321176	2323131	4034471	5745810	7457150	9168489	10879829
Bhutan	89989	89989	89989	89989	89989	89989	89989	89989	89989	89989	89989	90104	90220	90336	90451	90566	90682	90798	90913	91028	91144	91477	91810	92142	92475	92808	93141	93474	93806	94139	94472	94938	95405	95872	96338	96804	97271	97738	98204	98670	99137	99626	100116	100606	101095	101584	102074	102564	103053	103542	104032	104610	105188	105766	106344	106922	107499	108077	108655	109233	109811	110421	111030	111640	112250	112860	113469	114079	114689	115298	115908	116549	117191	117832	118473	119114	119756	120397	121038	121680	122321	122997	123673	124349	125025	125702	126378	127054	127730	128406	129082	129797	130513	131228	131943	132658	133374	134089	134804	135520	136235	136988	137741	138494	139247	140000	140754	141507	142260	143013	143766	144533	145300	146066	146833	147600	148367	149134	149900	150667	151434	152182	152929	153677	154425	155172	155920	156668	157416	158163	158911	159696	160480	161265	162049	162834	163619	164403	165188	165972	166757	167761	168765	169768	170772	171776	172780	173784	174787	175791	176795	177264	177734	178203	178673	179142	179611	180081	180550	181020	181489	181956	182423	182890	183357	183824	184292	184759	185226	185693	186160	186625	187090	187555	188020	188485	188950	189415	189880	190345	190810	191274	191738	192202	192666	193130	193593	194057	194521	194985	195449	195913	196377	196841	197305	197769	198233	198697	199161	199625	200089	200555	201021	201487	201953	202418	202884	203350	203816	204282	204748	318764	432781	546797	660814	774830
Bolivia	1100000	1100000	1100000	1100000	1100000	1100000	1100000	1100000	1100000	1100000	1100000	1102192	1104385	1106577	1108770	1110962	1113154	1115347	1117539	1119732	1121924	1128316	1134708	1141101	1147493	1153885	1160277	1166669	1173062	1179454	1185846	1194972	1204098	1213223	1222349	1231475	1240601	1249727	1258852	1267978	1277104	1285735	1294366	1302996	1311627	1320258	1328889	1337520	1346150	1354781	1363412	1372481	1381550	1390618	1399687	1408756	1417825	1426894	1435962	1445031	1454100	1462490	1470880	1479270	1487660	1496050	1504441	1512831	1521221	1529611	1538001	1546814	1555627	1564440	1573253	1582066	1590880	1599693	1608506	1617319	1626132	1635409	1644687	1653964	1663242	1672519	1681796	1691074	1700351	1709629	1718906	1729659	1740411	1751164	1761916	1772669	1783422	1794174	1804927	1815679	1826432	1843156	1859881	1876605	1893330	1910054	1926778	1943503	1960227	1976952	1993676	2027704	2061732	2095760	2129788	2163816	2197843	2231871	2265899	2299927	2333955	2363043	2392130	2421218	2450306	2479394	2508481	2537569	2566657	2595744	2624832	2656876	2688920	2720964	2753008	2785052	2817096	2849140	2881184	2913228	2945272	2959710	2974147	2988585	3003023	3017460	3031898	3046336	3060774	3075211	3089649	3094718	3099788	3104857	3109926	3114996	3120065	3125134	3130203	3135273	3140342	3145636	3150931	3156226	3161520	3166814	3172109	3177404	3182698	3187992	3193287	3198804	3204322	3209840	3215357	3220874	3226392	3231910	3237427	3242944	3248462	3254199	3259937	3265674	3271411	3277148	3282886	3288623	3294360	3300098	3305835	3311788	3317741	3323693	3329646	3335599	3341552	3347505	3353457	3359410	3365363	3371527	3377690	3383854	3390017	3396181	3402345	3408508	3414672	3420835	3426999	4886540	6346081	7805623	9265164	10724705
Bosnia and Herzegovina	851806	851806	851806	851806	851806	851806	851806	851806	851806	851806	851806	853822	855839	857855	859872	861888	863904	865921	867937	869954	871970	877886	883802	889718	895634	901550	907465	913381	919297	925213	931129	939657	948185	956712	965240	973768	982296	990824	999351	1007879	1016407	1025716	1035025	1044333	1053642	1062951	1072260	1081569	1090877	1100186	1109495	1119575	1129655	1139735	1149815	1159894	1169974	1180054	1190134	1200214	1210294	1221290	1232285	1243280	1254276	1265272	1276267	1287262	1298258	1309254	1320249	1332173	1344098	1356022	1367947	1379871	1391795	1403720	1415644	1427569	1439493	1452486	1465480	1478473	1491467	1504460	1517453	1530447	1543440	1556434	1569427	1583685	1597943	1612201	1626459	1640717	1654975	1669233	1683491	1697749	1712007	1727503	1742999	1758495	1773991	1789486	1804982	1820478	1835974	1851470	1866966	1883962	1900959	1917956	1934952	1951948	1968945	1985942	2002938	2019934	2036931	2055586	2074242	2092897	2111553	2130208	2148863	2167519	2186174	2204830	2223485	2243849	2264213	2284577	2304941	2325304	2345668	2366032	2386396	2406760	2427124	2450541	2473958	2497375	2520792	2544208	2567625	2591042	2614459	2637876	2661293	2666155	2671017	2675879	2680741	2685603	2690465	2695327	2700189	2705051	2709913	2715252	2720590	2725928	2731267	2736606	2741944	2747282	2752621	2757960	2763298	2768879	2774460	2780041	2785622	2791202	2796783	2802364	2807945	2813526	2819107	2824760	2830414	2836067	2841721	2847374	2853027	2858681	2864334	2869988	2875641	2881262	2886883	2892503	2898124	2903745	2909366	2914987	2920607	2926228	2931849	2937400	2942950	2948500	2954051	2959602	2965152	2970702	2976253	2981804	2987354	3151966	3316579	3481191	3645804	3810416
Botswana	121000	121000	121000	121000	121000	121000	121000	121000	121000	121000	121000	121000	121000	121000	121000	121000	121000	121000	121000	121000	121000	121000	121000	121000	121000	121000	121000	121000	121000	121000	121000	121000	121000	121000	121000	121000	121000	121000	121000	121000	121000	121000	121000	121000	121000	121000	121000	121000	121000	121000	121000	121030	121060	121090	121120	121150	121180	121210	121240	121270	121300	121330	121360	121390	121420	121450	121480	121510	121540	121570	121600	121630	121660	121690	121720	121750	121780	121810	121840	121870	121900	121930	121960	121990	122020	122050	122080	122110	122140	122170	122200	122235	122270	122305	122340	122376	122411	122446	122481	122516	122551	122963	123376	123788	124200	124612	125025	125437	125849	126262	126674	129250	131827	134403	136979	139556	142132	144708	147284	149861	152437	158876	165316	171755	178194	184634	191073	197512	203951	210391	216830	223368	229907	236446	242984	249522	256061	262600	269138	275676	282215	295247	308279	321310	334342	347374	360406	373438	386469	399501	412533	413807	415080	416354	417628	418902	420175	421449	422723	423996	425270	426461	427652	428844	430035	431226	432417	433608	434800	435991	437182	438308	439433	440558	441684	442810	443935	445060	446186	447312	448437	449514	450591	451668	452745	453822	454898	455975	457052	458129	459206	460252	461299	462346	463392	464438	465485	466532	467578	468624	469671	470706	471740	472774	473809	474844	475878	476912	477947	478982	480016	836510	1193004	1549497	1905991	2262485
Brazil	3639636	3681538	3723439	3765341	3807242	3849144	3891046	3932947	3974849	4016750	4058652	4111019	4163387	4215754	4268121	4320488	4372856	4425223	4477590	4529958	4582325	4654199	4726074	4797948	4869822	4941696	5013571	5085445	5157319	5229194	5301068	5391631	5482193	5572756	5663318	5753881	5844444	5935006	6025569	6116131	6206694	6311444	6416194	6520944	6625694	6730444	6835194	6939944	7044694	7149444	7254194	7375375	7496556	7617737	7738918	7860100	7981281	8102462	8223643	8344824	8466005	8615846	8765688	8915529	9065371	9215212	9365053	9514895	9664736	9814578	9964419	10157316	10350214	10543111	10736008	10928906	11121803	11314700	11507597	11700495	11893392	12145127	12396861	12648596	12900330	13152065	13403800	13655534	13907269	14159003	14410738	14780013	15149288	15518563	15887838	16257114	16626389	16995664	17364939	17734214	18103489	18534548	18965606	19396664	19827723	20258782	20689840	21120898	21551957	21983016	22414074	22938753	23463432	23988110	24512789	25037468	25562147	26086826	26611504	27136183	27660862	28283676	28906489	29529302	30152116	30774930	31397743	32020556	32643370	33266184	33888997	34654610	35420223	36185837	36951450	37717063	38482676	39248289	40013903	40779516	41545129	42788089	44031048	45274008	46516968	47759928	49002887	50245847	51488807	52731766	53974726	54137808	54300889	54463970	54627052	54790134	54953215	55116296	55279378	55442460	55605541	55775464	55945387	56115310	56285233	56455156	56625080	56795003	56964926	57134849	57304772	57479622	57654471	57829320	58004170	58179020	58353869	58528718	58703568	58878418	59053267	59231818	59410370	59588922	59767473	59946024	60124576	60303128	60481679	60660230	60838782	61020502	61202222	61383943	61565663	61747383	61929103	62110823	62292544	62474264	62655984	62841073	63026162	63211251	63396340	63581429	63766518	63951607	64136696	64321785	64506874	93175005	121843136	150511266	179179397	207847528
Brunei	2128	2128	2128	2128	2128	2128	2128	2128	2128	2128	2128	2140	2153	2165	2177	2190	2202	2214	2226	2239	2251	2289	2327	2365	2403	2442	2480	2518	2556	2594	2632	2692	2752	2812	2872	2932	2991	3051	3111	3171	3231	3304	3378	3452	3525	3598	3672	3746	3819	3892	3966	4056	4146	4236	4326	4416	4506	4596	4686	4776	4866	4998	5130	5261	5393	5525	5657	5789	5920	6052	6184	6391	6597	6804	7010	7217	7424	7630	7837	8043	8250	8552	8854	9156	9458	9760	10063	10365	10667	10969	11271	11695	12118	12542	12965	13389	13813	14236	14660	15083	15507	16074	16642	17209	17776	18344	18911	19478	20045	20613	21180	21608	22037	22465	22893	23322	23750	24178	24606	25035	25463	25862	26261	26659	27058	27457	27856	28255	28653	29052	29451	30068	30684	31300	31917	32534	33150	33766	34383	35000	35616	36854	38093	39332	40570	41808	43047	44286	45524	46762	48001	48298	48595	48892	49189	49486	49783	50080	50377	50674	50971	51267	51563	51859	52155	52452	52748	53044	53340	53636	53932	54235	54537	54840	55142	55445	55748	56050	56353	56655	56958	57273	57587	57902	58216	58531	58846	59160	59475	59789	60104	60434	60763	61093	61423	61752	62082	62412	62742	63071	63401	63747	64093	64438	64784	65130	65476	65822	66167	66513	66859	138125	209391	280656	351922	423188
Bulgaria	1992320	2001910	2011501	2021091	2030681	2040272	2049862	2059452	2069042	2078633	2088223	2098068	2107913	2117758	2127603	2137448	2147292	2157137	2166982	2176827	2186672	2196760	2206848	2216936	2227024	2237112	2247199	2257287	2267375	2277463	2287551	2297981	2308411	2318842	2329272	2339702	2350132	2360562	2370993	2381423	2391853	2400907	2409961	2419016	2428070	2437124	2446178	2455232	2464287	2473341	2482395	2488475	2494556	2500636	2506717	2512797	2518877	2524958	2531038	2537119	2543199	2556650	2570101	2583552	2597003	2610454	2623904	2637355	2650806	2664257	2677708	2709301	2740895	2772488	2804082	2835675	2867268	2898862	2930455	2962049	2993642	3039661	3085680	3131698	3177717	3223736	3269755	3315774	3361792	3407811	3453830	3507673	3561516	3615359	3669202	3723044	3776887	3830730	3884573	3938416	3992259	4046172	4100085	4153997	4207910	4261823	4315736	4369649	4423561	4477474	4531387	4586825	4642262	4697700	4753138	4808576	4864013	4919451	4974889	5030326	5085764	5180632	5275500	5370369	5465237	5560105	5654973	5749841	5844710	5939578	6034446	6098251	6162056	6225861	6289666	6353471	6417276	6481081	6544886	6608691	6672496	6730346	6788197	6846047	6903897	6961748	7019598	7077448	7135298	7193149	7250999	7256276	7261554	7266831	7272109	7277386	7282663	7287941	7293218	7298496	7303773	7309395	7315018	7320640	7326263	7331885	7337507	7343130	7348752	7354375	7359997	7365874	7371751	7377627	7383504	7389381	7395258	7401135	7407011	7412888	7418765	7424825	7430885	7436946	7443006	7449066	7455126	7461186	7467247	7473307	7479367	7485560	7491753	7497945	7504138	7510331	7516524	7522717	7528909	7535102	7541295	7547591	7553886	7560182	7566477	7572773	7579069	7585364	7591660	7597955	7604251	7513358	7422465	7331573	7240680	7149787
Burkina Faso	1665421	1665421	1665421	1665421	1665421	1665421	1665421	1665421	1665421	1665421	1665421	1668674	1671926	1675179	1678431	1681684	1684937	1688189	1691442	1694694	1697947	1707424	1716901	1726378	1735855	1745332	1754809	1764286	1773763	1783240	1792717	1806233	1819748	1833264	1846780	1860296	1873811	1887327	1900843	1914358	1927874	1942409	1956944	1971478	1986013	2000548	2015083	2029618	2044152	2058687	2073222	2088824	2104426	2120028	2135630	2151232	2166834	2182436	2198038	2213640	2229242	2246018	2262794	2279570	2296346	2313122	2329899	2346675	2363451	2380227	2397003	2414955	2432908	2450860	2468813	2486765	2504717	2522670	2540622	2558575	2576527	2595814	2615101	2634389	2653676	2672963	2692250	2711537	2730825	2750112	2769399	2790240	2811081	2831922	2852763	2873604	2894446	2915287	2936128	2956969	2977810	3000152	3022493	3044835	3067177	3089518	3111860	3134202	3156544	3178885	3201227	3225320	3249414	3273507	3297601	3321694	3345787	3369881	3393974	3418068	3442161	3468112	3494064	3520015	3545966	3571918	3597869	3623820	3649771	3675723	3701674	3729582	3757490	3785398	3813306	3841214	3869122	3897030	3924938	3952846	3980754	4011124	4041495	4071865	4102235	4132606	4162976	4193346	4223716	4254087	4284457	4288461	4292464	4296468	4300471	4304475	4308479	4312482	4316486	4320489	4324493	4328757	4333022	4337286	4341551	4345815	4350079	4354344	4358608	4362873	4367137	4371744	4376350	4380957	4385563	4390170	4394777	4399383	4403990	4408596	4413203	4418199	4423195	4428192	4433188	4438184	4443180	4448176	4453173	4458169	4463165	4468564	4473963	4479362	4484761	4490160	4495559	4500958	4506357	4511756	4517155	4522934	4528712	4534491	4540270	4546048	4551827	4557606	4563385	4569163	4574942	7281068	9987193	12693319	15399444	18105570
Burundi	899097	899097	899097	899097	899097	899097	899097	899097	899097	899097	899097	900968	902838	904709	906580	908450	910321	912192	914063	915933	917804	923266	928729	934191	939654	945116	950578	956041	961503	966966	972428	980244	988060	995876	1003692	1011508	1019324	1027140	1034956	1042772	1050588	1059032	1067476	1075921	1084365	1092809	1101253	1109697	1118142	1126586	1135030	1142980	1150929	1158879	1166829	1174778	1182728	1190678	1198628	1206577	1214527	1223021	1231516	1240010	1248505	1256999	1265493	1273988	1282482	1290977	1299471	1308494	1317516	1326539	1335562	1344584	1353607	1362630	1371653	1380675	1389698	1399327	1408956	1418584	1428213	1437842	1447471	1457100	1466728	1476357	1485986	1496333	1506679	1517026	1527372	1537719	1548066	1558412	1568759	1579105	1589452	1600461	1611471	1622480	1633489	1644498	1655508	1666517	1677526	1688536	1699545	1711956	1724366	1736777	1749187	1761598	1774009	1786419	1798830	1811240	1823651	1838309	1852967	1867624	1882282	1896940	1911598	1926256	1940913	1955571	1970229	1986065	2001901	2017737	2033573	2049409	2065245	2081081	2096917	2112753	2128589	2146622	2164656	2182689	2200723	2218756	2236789	2254823	2272856	2290890	2308923	2313954	2318985	2324016	2329047	2334078	2339110	2344141	2349172	2354203	2359234	2363688	2368143	2372597	2377051	2381506	2385960	2390414	2394868	2399323	2403777	2407983	2412189	2416395	2420601	2424806	2429012	2433218	2437424	2441630	2445836	2450045	2454255	2458464	2462673	2466882	2471092	2475301	2479510	2483720	2487929	2492316	2496703	2501090	2505477	2509864	2514252	2518639	2523026	2527413	2531800	2536459	2541119	2545778	2550437	2555096	2559756	2564415	2569074	2573734	2578393	4298499	6018604	7738710	9458815	11178921
